Price ID,Product ID,Product Name,Product Statement Descriptor,Product Tax Code,Description,Created (UTC),Amount,Currency,Interval,Interval Count,Usage Type,Aggregate Usage,Billing Scheme,Trial Period Days,Tax Behavior,internal_id (metadata),created_by (metadata),location_id (metadata),user_id (metadata)
price_1SS5FjDffY6JnI6OtQheh5gn,prod_SoYLW4Lz0TdP6O,Irvine Flight,,,Monthly (Unlimited),2025-11-11 00:16,350.00,usd,day,28,licensed,,per_unit,,unspecified,6892a1fd13cf3d3217c3492e,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1SS5F5DffY6JnI6O1LACWD8y,prod_Sr4UsV2Ijncxtj,Friday Night Hoops,,,3 Months (Paid in Full),2025-11-11 00:15,792.00,usd,day,84,licensed,,per_unit,,unspecified,689b7f628528ae72304811ac,LeadConnector,QCG9x9KJzYf8o2SK3jCx,
price_1SS5F5DffY6JnI6OsVawYmXG,prod_Sr4UsV2Ijncxtj,Friday Night Hoops,,,3 Months (Paid in Full),2025-11-11 00:15,792.00,usd,day,84,licensed,,per_unit,,unspecified,689b7f628528ae72304811ac,LeadConnector,QCG9x9KJzYf8o2SK3jCx,
price_1SS5EUDffY6JnI6OGIjf1WTh,prod_Sr4UsV2Ijncxtj,Friday Night Hoops,,,Monthly,2025-11-11 00:14,277.00,usd,day,28,licensed,,per_unit,,unspecified,689b7ef0d158be6c71661aea,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1SS5DJDffY6JnI6OxnT8uBCb,prod_TGxYkilYyoUAGY,Friday Night Hoops The League 3 v 3,,,3 v 3 Monthly,2025-11-11 00:13,199.00,usd,day,28,licensed,,per_unit,,unspecified,68f69b7a4d55d77b651bd5d5,LeadConnector,QCG9x9KJzYf8o2SK3jCx,
price_1SKPhADffY6JnI6OfXiYjGBI,prod_TGxYkilYyoUAGY,Friday Night Hoops The League 3 v 3,,,3 v 3 Monthly,2025-10-20 20:28,199.00,usd,month,1,licensed,,per_unit,,unspecified,68f69b7a4d55d77b651bd5d5,LeadConnector,QCG9x9KJzYf8o2SK3jCx,
price_1S8RHLDffY6JnI6OWAKDiN1f,prod_Sr4UsV2Ijncxtj,Friday Night Hoops,,,Monthly (Discounted),2025-09-17 19:44,252.00,usd,month,1,licensed,,per_unit,,unspecified,68cb0ae1b2e5e96c6da0c934,LeadConnector,QCG9x9KJzYf8o2SK3jCx,
price_1S07TLDffY6JnI6OwrypLbCf,prod_SoYLW4Lz0TdP6O,Irvine Flight,,,Monthly (Unlimited),2025-08-25 20:58,350.00,usd,month,1,licensed,,per_unit,,unspecified,6892a1fd13cf3d3217c3492e,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1RxeTMDffY6JnI6OOJUqfzSm,prod_SoYLW4Lz0TdP6O,Irvine Flight,,,Monthly (Twice a week),2025-08-19 01:36,250.00,usd,month,1,licensed,,per_unit,,unspecified,68a3d517722081d339fc20e3,LeadConnector,QCG9x9KJzYf8o2SK3jCx,
price_1RxeSODffY6JnI6OUvKbzAO4,prod_SoYLW4Lz0TdP6O,Irvine Flight,,,Monthly (Unlimited),2025-08-19 01:35,350.00,usd,month,1,licensed,,per_unit,,unspecified,6892a1fd13cf3d3217c3492e,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1RvMNEDffY6JnI6OBI7UCOYP,prod_Sr4UsV2Ijncxtj,Friday Night Hoops,,,3 Months (Paid in Full),2025-08-12 17:52,792.00,usd,month,3,licensed,,per_unit,,unspecified,689b7f628528ae72304811ac,LeadConnector,QCG9x9KJzYf8o2SK3jCx,
price_1RvMM4DffY6JnI6O9nGhC3Lv,prod_Sr4UsV2Ijncxtj,Friday Night Hoops,,,Monthly,2025-08-12 17:51,277.00,usd,month,1,licensed,,per_unit,,unspecified,689b7ef0d158be6c71661aea,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1RvMLODffY6JnI6OW6YMKA3K,prod_Sr4UsV2Ijncxtj,Friday Night Hoops,,,Monthly,2025-08-12 17:50,171.00,usd,month,1,licensed,,per_unit,,unspecified,689b7ef0d158be6c71661aea,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1RvMFEDffY6JnI6OuEvmwJpv,prod_STETCMIj40XnRa,Friday Night Hoops - The League,,,Monthly,2025-08-12 17:44,171.00,usd,month,1,licensed,,per_unit,,unspecified,6847997cd4deb89e9e3a82e9,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1RsvIPDffY6JnI6OR0UQuWMk,prod_SoYLW4Lz0TdP6O,Irvine Flight,,,6 Months (Save $391.00),2025-08-06 00:33,1709.00,usd,month,1,licensed,,per_unit,,unspecified,6892a29e11cd56d056d91d16,LeadConnector,QCG9x9KJzYf8o2SK3jCx,
price_1RsvGODffY6JnI6OWP4Pz3P2,prod_SoYLW4Lz0TdP6O,Irvine Flight,,,3 Months (Save $114.00),2025-08-06 00:31,936.00,usd,month,1,licensed,,per_unit,,unspecified,6892a25f574f4c037a710076,LeadConnector,QCG9x9KJzYf8o2SK3jCx,
price_1RsvF2DffY6JnI6OkkFIGMbu,prod_SoYLW4Lz0TdP6O,Irvine Flight,,,Monthly,2025-08-06 00:30,350.00,usd,month,1,licensed,,per_unit,,unspecified,6892a1fd13cf3d3217c3492e,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1RsvEoDffY6JnI6OBUp55Htp,prod_SoYLW4Lz0TdP6O,Irvine Flight,,,Irvine Flight @ 350,2025-08-06 00:29,350.00,usd,month,1,licensed,,per_unit,,unspecified,6892a1fd13cf3d3217c3492e,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1RkqL6DffY6JnI6O0bKfwcrZ,prod_STEhRUl2UuMFkq,Youth Club,,,Monthly,2025-07-14 17:38,350.00,usd,month,1,licensed,,per_unit,,unspecified,68479ce6d4deb842033a8973,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1RjQx6DffY6JnI6Ov7Pns7An,prod_STDpE8r3B3goFK,High School Club,,,Monthly,2025-07-10 20:20,395.00,usd,month,1,licensed,,per_unit,,unspecified,68479037924d71e3d10120e7,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
